MSG_DEBUG_MAP_01,Crono's House\1F
MSG_DEBUG_MAP_02,Crono's House\2F
MSG_DEBUG_MAP_03,Lucca's House\1F Hall / 1F Room
MSG_DEBUG_MAP_04,Lucca's House\1F Entrance
MSG_DEBUG_MAP_05,Leene Square\Central Plaza
MSG_DEBUG_MAP_06,Leene Square\Gato
MSG_DEBUG_MAP_07,Leene Square\Prehistoric Dancers
MSG_DEBUG_MAP_08,Leene Square\Telepod
MSG_DEBUG_MAP_09,Lucca's House\2F Lara's Room
MSG_DEBUG_MAP_10,Lucca's House\2F Lucca's Room
MSG_DEBUG_MAP_11,(Event)
MSG_DEBUG_MAP_12,Truce\Inn
MSG_DEBUG_MAP_13,Truce\Mayor's House 1F
MSG_DEBUG_MAP_14,Truce\Mayor's House 2F
MSG_DEBUG_MAP_15,Truce\Residence A
MSG_DEBUG_MAP_16,Truce\Residence B
MSG_DEBUG_MAP_17,Truce\Merchant
MSG_DEBUG_MAP_18,Truce\Ferry Office
MSG_DEBUG_MAP_19,Guardia Forest (Present)
MSG_DEBUG_MAP_20,Guardia Forest (Present)\Time Gate
MSG_DEBUG_MAP_21,Guardia Castle (Present)\Central Hall
MSG_DEBUG_MAP_22,Guardia Castle (Present)\King's Bedroom
MSG_DEBUG_MAP_23,Guardia Castle (Present)\Queen's Bedroom
MSG_DEBUG_MAP_24,Guardia Castle (Present)\Dining Hall
MSG_DEBUG_MAP_25,Guardia Castle (Present)\Soldiers' Room
MSG_DEBUG_MAP_26,Guardia Castle (Present)\Treasury
MSG_DEBUG_MAP_27,Guardia Castle (Present)\Hall of Justice
MSG_DEBUG_MAP_28,Prison Towers\Skywalk
MSG_DEBUG_MAP_29,Prison Towers\Guardroom
MSG_DEBUG_MAP_30,Prison Towers\Execution Chamber
MSG_DEBUG_MAP_31,Medina\Town Square
MSG_DEBUG_MAP_32,Zenan Bridge
MSG_DEBUG_MAP_33,Medina\Mayor's House 1F
MSG_DEBUG_MAP_34,Medina\Mayor's House 2F
MSG_DEBUG_MAP_35,Medina\Inn
MSG_DEBUG_MAP_36,Medina\Residence
MSG_DEBUG_MAP_37,(Event)
MSG_DEBUG_MAP_38,Guardia Castle (?)\Central Hall
MSG_DEBUG_MAP_39,Medina\Merchant
MSG_DEBUG_MAP_40,Melchior's Cabin\1F
MSG_DEBUG_MAP_41,Melchior's Cabin\B1
MSG_DEBUG_MAP_42,Forest Ruins
MSG_DEBUG_MAP_43,Cursed Woods
MSG_DEBUG_MAP_44,Future Leene's Square?\Used for ending
MSG_DEBUG_MAP_45,Future Denadoro Mts.?\Used for ending
MSG_DEBUG_MAP_46,Magus's Keep\Used for ending
MSG_DEBUG_MAP_47,Heckran Cave
MSG_DEBUG_MAP_48,Heckran Cave\Entrance
MSG_DEBUG_MAP_49,Heckran Cave
MSG_DEBUG_MAP_50,Porre\Mayor's Manor 1F
MSG_DEBUG_MAP_51,Porre\Mayor's Manor 2F
MSG_DEBUG_MAP_52,Porre\Residence
MSG_DEBUG_MAP_53,Porre\Snail Stop
MSG_DEBUG_MAP_54,Porre\Market
MSG_DEBUG_MAP_55,Porre\Inn
MSG_DEBUG_MAP_56,Porre\Ferry Office
MSG_DEBUG_MAP_57,Fiona's Shrine
MSG_DEBUG_MAP_58,Choras\Mayor's Manor 1F
MSG_DEBUG_MAP_59,Choras\Mayor's Manor 1F
MSG_DEBUG_MAP_60,Magus's Keep\Used for ending?
MSG_DEBUG_MAP_61,Choras\Residence
MSG_DEBUG_MAP_62,Choras\Inn (and tavern)
MSG_DEBUG_MAP_63,West Cape
MSG_DEBUG_MAP_64,Sun Shrine\Present?
MSG_DEBUG_MAP_65,Hero's Grave\Entrance
MSG_DEBUG_MAP_66,Hero's Grave\B1
MSG_DEBUG_MAP_67,Hero's Grave\2F
MSG_DEBUG_MAP_68,Hero's Grave\2F Hall
MSG_DEBUG_MAP_69,Hero's Grave\2F Rear Passage
MSG_DEBUG_MAP_70,Hero's Grave\2F Rearmost Chamber
MSG_DEBUG_MAP_71,Prison Towers\Prison / Passage
MSG_DEBUG_MAP_72,Prison Towers\Passage/Stairs to Exec. Chamber
MSG_DEBUG_MAP_73,Hero's Grave\Cyrus's Chamber
MSG_DEBUG_MAP_74,(Event)
MSG_DEBUG_MAP_75,Prison Towers\Outer Wall
MSG_DEBUG_MAP_76,(Event)
MSG_DEBUG_MAP_77,(Event)
MSG_DEBUG_MAP_78,(Event)
MSG_DEBUG_MAP_79,Guardia Castle\Used for ending
MSG_DEBUG_MAP_80,Leene Square\Central Plaza (Parade)
MSG_DEBUG_MAP_81,Leene Square\Plaza Rear (Parade)
MSG_DEBUG_MAP_82,(Unused)
MSG_DEBUG_MAP_83,Forest Near Fiona's Shrine\Lucca's Gate
MSG_DEBUG_MAP_84,End of Time
MSG_DEBUG_MAP_85,Leene Square\Telepod (Parade)
MSG_DEBUG_MAP_86,Death Peak?\(Event)
MSG_DEBUG_MAP_87,Manolia Cathedral?\(Event)
MSG_DEBUG_MAP_88,Artwork\Used for ending
MSG_DEBUG_MAP_89,Zenan Bridge\(Event)
MSG_DEBUG_MAP_90,Prison Towers?\Skywalk (Event)
MSG_DEBUG_MAP_91,(Unused)
MSG_DEBUG_MAP_92,(Unused)
MSG_DEBUG_MAP_93,(Unused)
MSG_DEBUG_MAP_94,(Unused)
MSG_DEBUG_MAP_95,(Unused)
MSG_DEBUG_MAP_96,Black Omen\Lower Level 4 (Lavos Spawn)
MSG_DEBUG_MAP_97,Black Omen\Lower Level (Warp 2)
MSG_DEBUG_MAP_98,Black Omen\Bottom Level (Warp 2)
MSG_DEBUG_MAP_99,Black Omen\Bottom Level (Elevator)
MSG_DEBUG_MAP_100,Black Omen\Bottom Level (Descending)
MSG_DEBUG_MAP_101,Black Omen\Bottom Level (Ascending)
MSG_DEBUG_MAP_102,(Event)
MSG_DEBUG_MAP_103,(Event)
MSG_DEBUG_MAP_104,(Event)
MSG_DEBUG_MAP_105,(Event)
MSG_DEBUG_MAP_106,(Event)
MSG_DEBUG_MAP_107,Black Omen Exterior\(Event)
MSG_DEBUG_MAP_108,(Unused)
MSG_DEBUG_MAP_109,Giant's Claw
MSG_DEBUG_MAP_110,Giant's Claw
MSG_DEBUG_MAP_111,Giant's Claw
MSG_DEBUG_MAP_112,Mountains Behind Truce
MSG_DEBUG_MAP_113,Mountains Behind Truce\Time Gate
MSG_DEBUG_MAP_114,Truce\Residence 1
MSG_DEBUG_MAP_115,Truce\Residence 2 (Banta)
MSG_DEBUG_MAP_116,Truce\Inn 1F
MSG_DEBUG_MAP_117,Truce\Inn 2F
MSG_DEBUG_MAP_118,Truce\Market
MSG_DEBUG_MAP_119,Guardia Forest
MSG_DEBUG_MAP_120,Guardia Castle\Main Hall
MSG_DEBUG_MAP_121,Guardia Castle\King's Chamber
MSG_DEBUG_MAP_122,Guardia Castle\Princess's Chamber
MSG_DEBUG_MAP_123,Guardia Castle\Dining Hall
MSG_DEBUG_MAP_124,Guardia Castle\Knight's Room
MSG_DEBUG_MAP_125,Magus's Keep\Long Passage
MSG_DEBUG_MAP_126,Geno Dome\Conveyer Belt (Center)
MSG_DEBUG_MAP_127,Geno Dome\Elevator
MSG_DEBUG_MAP_128,Geno Dome\Oblong Passage
MSG_DEBUG_MAP_129,Manolia Cathedral\Chapel
MSG_DEBUG_MAP_130,Manolia Cathedral\Main Hall (Front)
MSG_DEBUG_MAP_131,Manolia Cathedral\Main Hall (Rear)
MSG_DEBUG_MAP_132,Manolia Cathedral\In Front of Yakra's Room
MSG_DEBUG_MAP_133,Zenan Bridge\Broken Bridge
MSG_DEBUG_MAP_134,Zenan Bridge\Food Supply Event
MSG_DEBUG_MAP_135,Zenan Bridge\Repaired
MSG_DEBUG_MAP_136,Dorino\Residence
MSG_DEBUG_MAP_137,Dorino\Elder's House
MSG_DEBUG_MAP_138,Dorino\Inn
MSG_DEBUG_MAP_139,Dorino\Market
MSG_DEBUG_MAP_140,Cursed Woods
MSG_DEBUG_MAP_141,Cursed Woods\Frog's Hideaway
MSG_DEBUG_MAP_142,Denadoro Mountains\Map 1
MSG_DEBUG_MAP_143,Denadoro Mountains\Map 2
MSG_DEBUG_MAP_144,Denadoro Mountains\Map 3
MSG_DEBUG_MAP_145,Denadoro Mountains\Map 4
MSG_DEBUG_MAP_146,Denadoro Mountains\Map 5
MSG_DEBUG_MAP_147,Denadoro Mountains\Map 6
MSG_DEBUG_MAP_148,Denadoro Mountains\Map 7
MSG_DEBUG_MAP_149,Denadoro Mountains\Map 8
MSG_DEBUG_MAP_150,Denadoro Mountains\Map 9
MSG_DEBUG_MAP_151,Denadoro Mountains\Masa / Mune's Room
MSG_DEBUG_MAP_152,Tata's House\1F
MSG_DEBUG_MAP_153,Tata's House\2F
MSG_DEBUG_MAP_154,Porre\Elder's House
MSG_DEBUG_MAP_155,Porre\Tavern
MSG_DEBUG_MAP_156,Porre\Inn
MSG_DEBUG_MAP_157,Porre\Market
MSG_DEBUG_MAP_158,Fiona's Villa
MSG_DEBUG_MAP_159,Sunken Desert\Entrance
MSG_DEBUG_MAP_160,Sunken Desert\Front
MSG_DEBUG_MAP_161,Sunken Desert\Melphyx's Room
MSG_DEBUG_MAP_162,(Event)
MSG_DEBUG_MAP_163,Magic Cave\Entrance
MSG_DEBUG_MAP_164,Magic Cave\Interior
MSG_DEBUG_MAP_165,Magus's Keep\Entrance
MSG_DEBUG_MAP_166,Magus's Keep\Upon Entering
MSG_DEBUG_MAP_167,Magus's Keep\Trap 1 - Guillotine
MSG_DEBUG_MAP_168,Magus's Keep\Trap 2 - Pit
MSG_DEBUG_MAP_169,Magus's Keep\Slash Battle Room
MSG_DEBUG_MAP_170,Magus's Keep\Central Chamber
MSG_DEBUG_MAP_171,Magus's Keep\Kids' Treasure Room
MSG_DEBUG_MAP_172,Magus's Keep\Magus's Chamber
MSG_DEBUG_MAP_173,Magus's Keep\Flea Battle Room
MSG_DEBUG_MAP_174,Magus's Keep\Ozzie Battle Room
MSG_DEBUG_MAP_175,Magus's Keep\Trap 3 - Conveyer Belt
MSG_DEBUG_MAP_176,Magus's Keep\Exterior Stairway 1
MSG_DEBUG_MAP_177,Ozzie's Fort\Upon Entering
MSG_DEBUG_MAP_178,Ozzie's Fort\Failed Trap Room
MSG_DEBUG_MAP_179,Ozzie's Fort\Guillotine Room
