MSG_EX_ILLUST_01,Crono
MSG_EX_ILLUST_02,Marle
MSG_EX_ILLUST_03,Lucca
MSG_EX_ILLUST_04,Robo
MSG_EX_ILLUST_05,Frog
MSG_EX_ILLUST_06,Ayla
MSG_EX_ILLUST_07,Magus
MSG_EX_ILLUST_08,Ice and Flame
MSG_EX_ILLUST_09,Ayla's Entrance
MSG_EX_ILLUST_10,Ayla and the Dactyl
MSG_EX_ILLUST_11,Chief, Fly High
MSG_EX_ILLUST_12,The Epoch
MSG_EX_ILLUST_13,Smiling Princess
MSG_EX_ILLUST_14,Into the Maw of Darkness
MSG_EX_ILLUST_15,Wings of Time
MSG_EX_ILLUST_16,Wedding Ceremony
MSG_EX_ILLUST_17,Crono Sketch
MSG_EX_ILLUST_18,Marle Sketch
MSG_EX_ILLUST_19,Lucca Sketch
MSG_EX_ILLUST_20,Robo Sketch
MSG_EX_ILLUST_21,Frog Sketch
MSG_EX_ILLUST_22,Ayla Sketch
MSG_EX_ILLUST_23,Magus Sketch
MSG_EX_ILLUST_24,Dungeon Battle
MSG_EX_ILLUST_25,Combo Attack
MSG_EX_ILLUST_26,Fiendlord Face-off
MSG_EX_ILLUST_27,Dactyl Riders
MSG_EX_ILLUST_28,Epoch, Away!
MSG_EX_ILLUST_29,The Forest Camp
MSG_EX_ILLUST_30,Beneath Starlit Skies
MSG_EX_MOVIE_01,Reflections
MSG_EX_MOVIE_02,What Comes to Pass
MSG_EX_MOVIE_03,Misfortune Falls
MSG_EX_MOVIE_04,Robo in Disrepair
MSG_EX_MOVIE_05,The Mighty Ayla
MSG_EX_MOVIE_06,The Masamune Unsheathed
MSG_EX_MOVIE_07,Before the Fiendlord
MSG_EX_MOVIE_08,Flight of the Dactyls
MSG_EX_MOVIE_09,The Epoch's Maiden Flight
MSG_EX_MOVIE_10,Prophecy Fulfilled
MSG_EX_ILLUST_31,Defend the City
MSG_EX_ILLUST_32,My Home
