MSG_EX_ITEM_01,Potion
MSG_EX_ITEM_02,Mid-Potion
MSG_EX_ITEM_03,Hi-Potion
MSG_EX_ITEM_04,Ether
MSG_EX_ITEM_05,Mid-Ether
MSG_EX_ITEM_06,Hi-Ether
MSG_EX_ITEM_07,Turbo Ether
MSG_EX_ITEM_08,Elixir
MSG_EX_ITEM_09,Megalixir
MSG_EX_ITEM_10,Panacea
MSG_EX_ITEM_11,Athenian Water
MSG_EX_ITEM_12,Lapis
MSG_EX_ITEM_13,Mop
MSG_EX_ITEM_14,Wooden Sword
MSG_EX_ITEM_15,Bronze Blade
MSG_EX_ITEM_16,Steel Saber
MSG_EX_ITEM_17,Silver Sword
MSG_EX_ITEM_18,Thunder Blade
MSG_EX_ITEM_19,Crimson Blade
MSG_EX_ITEM_20,Mammoth Tusk
MSG_EX_ITEM_21,Slasher
MSG_EX_ITEM_22,Primeval Blade
MSG_EX_ITEM_23,Zanmato
MSG_EX_ITEM_24,Vajra Sword
MSG_EX_ITEM_25,Empyrean Blade
MSG_EX_ITEM_26,Yaksha Blade
MSG_EX_ITEM_27,Swallow
MSG_EX_ITEM_28,Onimaru
MSG_EX_ITEM_29,Slasher II
MSG_EX_ITEM_30,Suzaku
MSG_EX_ITEM_31,Rainbow
MSG_EX_ITEM_32,Bronze Bowgun
MSG_EX_ITEM_33,Iron Bowgun
MSG_EX_ITEM_34,Silver Bow
MSG_EX_ITEM_35,Bandit's Bow
MSG_EX_ITEM_36,Shaman's Bow
MSG_EX_ITEM_37,Dreamstone Bow
MSG_EX_ITEM_38,Comet Bow
MSG_EX_ITEM_39,Sonic Bow
MSG_EX_ITEM_40,Siren's Kiss
MSG_EX_ITEM_41,Valkyrie Bow
MSG_EX_ITEM_42,Airgun
MSG_EX_ITEM_43,Pea Shooter
MSG_EX_ITEM_44,Pocket Blaster
MSG_EX_ITEM_45,Plasma Gun
MSG_EX_ITEM_46,Ruby Gun
MSG_EX_ITEM_47,Dreamstone Gun
MSG_EX_ITEM_48,Megablaster
MSG_EX_ITEM_49,Shockwave
MSG_EX_ITEM_50,Wondershot
MSG_EX_ITEM_51,Bronze Sword
MSG_EX_ITEM_52,Iron Sword
MSG_EX_ITEM_53,Radiant Blade
MSG_EX_ITEM_54,Smiter's Blade
MSG_EX_ITEM_55,Rune Blade
MSG_EX_ITEM_56,Demonslayer
MSG_EX_ITEM_57,Brave Sword
MSG_EX_ITEM_58,Masamune
MSG_EX_ITEM_59,Masamune
MSG_EX_ITEM_60,Tin Arm
MSG_EX_ITEM_61,Hammer Arm
MSG_EX_ITEM_62,Mirage Hand
MSG_EX_ITEM_63,Stone Arm
MSG_EX_ITEM_64,Death Claw
MSG_EX_ITEM_65,Magma Hand
MSG_EX_ITEM_66,Megaton Arm
MSG_EX_ITEM_67,Heavy Hand
MSG_EX_ITEM_68,Kaiser Arm
MSG_EX_ITEM_69,Gigaton Arm
MSG_EX_ITEM_70,Teraton Arm
MSG_EX_ITEM_71,Crisis Arm
MSG_EX_ITEM_72,Moonfall Scythe
MSG_EX_ITEM_73,Headman's Scythe
MSG_EX_ITEM_74,Hadean Sickle
MSG_EX_ITEM_75,Doom Scythe
MSG_EX_ITEM_76,Hide Tunic
MSG_EX_ITEM_77,Padded Vest
MSG_EX_ITEM_78,Bronze Armor
MSG_EX_ITEM_79,Maiden's Suit
MSG_EX_ITEM_80,Iron Suit
MSG_EX_ITEM_81,Titanium Vest
MSG_EX_ITEM_82,Taban's Vest
MSG_EX_ITEM_83,Golden Suit
MSG_EX_ITEM_84,Ruby Vest
MSG_EX_ITEM_85,Dark Mail
MSG_EX_ITEM_86,White Vest
MSG_EX_ITEM_87,Black Vest
