MSG_FIELD_GENDAI_01,<NAME_CRO> - dom
MSG_FIELD_GENDAI_02,<NAME_LUC> - dom
MSG_FIELD_GENDAI_03,Gospoda w Truce
MSG_FIELD_GENDAI_04,Plac Leene
MSG_FIELD_GENDAI_05,Port promowy
MSG_FIELD_GENDAI_06,Przybrzeżny wir
MSG_FIELD_GENDAI_07,Las Guardia
MSG_FIELD_GENDAI_08,Zamek Guardia
MSG_FIELD_GENDAI_09,Wieże więzienne
MSG_FIELD_GENDAI_10,Most Zenan
MSG_FIELD_GENDAI_11,Kapliczka Fiony
MSG_FIELD_GENDAI_12,Gospoda w Porre
MSG_FIELD_GENDAI_13,Knajpa pod Ślimakiem
MSG_FIELD_GENDAI_14,Leśne ruiny
MSG_FIELD_GENDAI_15,Gospoda w Medinie
MSG_FIELD_GENDAI_16,Plac Mediny
MSG_FIELD_GENDAI_17,Chatka Melchiora
MSG_FIELD_GENDAI_18,Jaskinia Heckrana
MSG_FIELD_GENDAI_19,Gospoda w Choras
MSG_FIELD_GENDAI_20,Północne ruiny
MSG_FIELD_GENDAI_21,Grób bohatera
MSG_FIELD_GENDAI_22,Zachodni przylądek
MSG_FIELD_GENDAI_23,Sklep
MSG_FIELD_GENDAI_24,Rezydencja burmistrza
MSG_FIELD_GENDAI_25,Dom wójta
MSG_FIELD_GENDAI_26,Rezydencja
MSG_FIELD_GENDAI_27,Kaplica słońca
MSG_FIELD_GENDAI_28,Czarny Omen
MSG_FIELD_CHUSEI_01,Gospoda w Truce
MSG_FIELD_CHUSEI_02,Kanion w Truce
MSG_FIELD_CHUSEI_03,Las Guardia
MSG_FIELD_CHUSEI_04,Zamek Guardia
MSG_FIELD_CHUSEI_05,Katedra Manolia
MSG_FIELD_CHUSEI_06,Most Zenan
MSG_FIELD_CHUSEI_07,Gospoda w Dorino
MSG_FIELD_CHUSEI_08,Willa Fiony
MSG_FIELD_CHUSEI_09,Zapadnięta pustynia
MSG_FIELD_CHUSEI_10,Góry Denadoro
MSG_FIELD_CHUSEI_11,Magiczna jaskinia
MSG_FIELD_CHUSEI_12,Przeklęty las
MSG_FIELD_CHUSEI_13,Gospoda w Porre
MSG_FIELD_CHUSEI_14,Dom Taty
MSG_FIELD_CHUSEI_15,Tawerna
MSG_FIELD_CHUSEI_16,Gospoda w Choras
MSG_FIELD_CHUSEI_17,Pazur giganta
MSG_FIELD_CHUSEI_18,Twierdza Władcy Demonów
MSG_FIELD_CHUSEI_19,Fort Ozziego
