FLD_QUES0_000,<CT>\Obtained <NAME_ITM>!
FLD_QUES0_001,If you want to get through here, you'll have to answer\a question for me.
FLD_QUES0_002,You're absolutely right!\Okay, you can go on ahead.
FLD_QUES0_003,You're absolutely...wrong! Too bad.\To the Hall of Punishment with you!
FLD_QUES0_004,Which of the following is not one of the racers in\Leene Square?
FLD_QUES0_005,To which of the following elements is the Dragon\Tank's head immune?
FLD_QUES0_006,What do Masa and Mune claim makes them unstoppable?
FLD_QUES0_007,There is a statue behind <NAME_MAG> when you fight him\in his keep. How many arms does this statue have?
FLD_QUES0_008,What is the name of the red stone needed to repair\the Masamune?
FLD_QUES0_009,What is the name of the device <NAME_LUC> invented to\stabilize Gates?
FLD_QUES0_010,What item can you obtain by trading fangs and petals\at the trading hut in Ioka Village?
FLD_QUES0_011,Who is the leader of Medina in 1000 A.D.?
FLD_QUES0_012,What is <NAME_FRO>'s true name?
FLD_QUES0_013,Which other tech has the same effect as <NAME_FRO>'s \Frog Squash?
FLD_QUES0_014,What is the name of Cyrus's attack?
FLD_QUES0_015,What winged creatures must you ride in order to reach\the Tyranno Lair?
FLD_QUES0_016,When did Lavos first arrive on the planet?
FLD_QUES0_017,What is <NAME_MAG>'s true name?
FLD_QUES0_018,What is the name of <NAME_MAG>'s sister?
FLD_QUES0_019,What is the name of the cat <NAME_MAG> had as a child?
FLD_QUES0_020,What was the final invention of Belthasar, the Guru of\Reason?
FLD_QUES0_021,Who is the Guru of Time?
FLD_QUES0_022,With whom can you practice your fighting skills at the\End of Time?
FLD_QUES0_023,What is the name of the Ioka villager <NAME_AYL> likes\best?
FLD_QUES0_024,Who serves as <NAME_CRO>'s lawyer when he is placed\on trial at Guardia Castle?
FLD_QUES0_025,Who is your opponent at the Site 32 bike race?
FLD_QUES0_026,What is the name of the giant skeletal monster that\attacks Zenan Bridge in the Middle Ages?
FLD_QUES0_027,For whom does Flea harbor affections?
FLD_QUES0_028,Which of <NAME_MAG>'s three generals is skilled at\swordplay?
FLD_QUES0_029,What type of magic does <NAME_MAG> use?
FLD_QUES0_030,What is the name of the pink robot who wears a ribbon?
FLD_QUES0_031,What does Dalton dub the upgraded <NAME_SIL>?
FLD_QUES0_032,What is the name of the singing humanoid robot in\Leene Square?
FLD_QUES0_033,What icon is displayed to indicate Confuse status?
FLD_QUES0_034,Who is the leader of the reptites?
FLD_QUES0_035,What surrounds the reptite lair?
FLD_QUES0_036,Princess Nadia is also known by what alias?
FLD_QUES0_037,What is the name of <NAME_LUC>'s mother?
FLD_QUES0_038,The <NAME_SIL> is also known as what?
FLD_QUES0_039,
FLD_QUES0_040,
FLD_QUES0_041,
FLD_QUES0_042,
FLD_QUES0_043,
FLD_QUES0_044,<S10><S10><C1>Steel Runner</C1>\<S10><S10><C2>Green Ambler</C2>\<S10><S10><C3>Catapult</C3>\<S10><S10><C4>G.I. Jogger</C4>
FLD_QUES0_045,<S10><S10><C1>Fire and light.</C1>\<S10><S10><C2>Fire and water.</C2>\<S10><S10><C3>Light and water.</C3>\<S10><S10><C4>Fire and shadow.</C4>
FLD_QUES0_046,<S10><S10><C1>Their brains and beauty.</C1>\<S10><S10><C2>Their strength and style.</C2>\<S10><S10><C3>Their brains and bravery.</C3>\<S10><S10><C4>Their strength and balance.</C4>
FLD_QUES0_047,<S10><S10><C1>Two.</C1>\<S10><S10><C2>Four.</C2>\<S10><S10><C3>Six.</C3>\<S10><S10><C4>Eight.</C4>
FLD_QUES0_048,<S10><S10><C1>Powerstone.</C1>\<S10><S10><C2>Dreamstone.</C2>\<S10><S10><C3>Grandstone.</C3>\<S10><S10><C4>Firestone.</C4>
FLD_QUES0_049,<S10><S10><C1>The Gate Key.</C1>\<S10><S10><C2>The Telepod.</C2>\<S10><S10><C3>The Zonker-38.</C3>\<S10><S10><C4>The Mammon Machine.</C4>
FLD_QUES0_050,<S10><S10><C1>Mammoth Tusk.</C1>\<S10><S10><C2>Ruby Gun.</C2>\<S10><S10><C3>Red Plate.</C3>\<S10><S10><C4>Primeval Blade.</C4>
FLD_QUES0_051,<S10><S10><C1>Ozzie IV.</C1>\<S10><S10><C2>Ozzie XIII.</C2>\<S10><S10><C3>Ozzie XXII.</C3>\<S10><S10><C4>Ozzie the Great.</C4>
FLD_QUES0_052,<S10><S10><C1>Cyrus.</C1>\<S10><S10><C2>Tata.</C2>\<S10><S10><C3>Glenn.</C3>\<S10><S10><C4>Polliwog.</C4>
FLD_QUES0_053,<S10><S10><C1>Electrocute.</C1>\<S10><S10><C2>Flare.</C2>\<S10><S10><C3>Dark Matter.</C3>\<S10><S10><C4>Dino Tail.</C4>
FLD_QUES0_054,<S10><S10><C1>Nirvana Strike.</C1>\<S10><S10><C2>Meteor Strike.</C2>\<S10><S10><C3>Armageddon Strike.</C3>\<S10><S10><C4>Solar Strike.</C4>
FLD_QUES0_055,<S10><S10><C1>Kilwalas.</C1>\<S10><S10><C2>Avians.</C2>\<S10><S10><C3>Dactyls.</C3>\<S10><S10><C4>Aecytosaurs.</C4>
FLD_QUES0_056,<S10><S10><C1>Prehistory.</C1>\<S10><S10><C2>Antiquity.</C2>\<S10><S10><C3>The Middle Ages.</C3>\<S10><S10><C4>1999 A.D.</C4>
FLD_QUES0_057,<S10><S10><C1>Fritz.</C1>\<S10><S10><C2>Alfador.</C2>\<S10><S10><C3>Marco.</C3>\<S10><S10><C4>Janus.</C4>
FLD_QUES0_058,<S10><S10><C1>Leene.</C1>\<S10><S10><C2>Schala.</C2>\<S10><S10><C3>Aliza.</C3>\<S10><S10><C4>Fiona.</C4>
FLD_QUES0_059,<S10><S10><C1>Piette.</C1>\<S10><S10><C2>Alfador.</C2>\<S10><S10><C3>Taban.</C3>\<S10><S10><C4>Flea.</C4>
FLD_QUES0_060,<S10><S10><C1>Gates.</C1>\<S10><S10><C2>The Chrono Trigger.</C2>\<S10><S10><C3>The <NAME_SIL>.</C3>\<S10><S10><C4>The Nu.</C4>
FLD_QUES0_061,<S10><S10><C1>Melchior.</C1>\<S10><S10><C2>Belthasar.</C2>\<S10><S10><C3>Gaspar.</C3>\<S10><S10><C4>Doan.</C4>
