MSG_GAME_START_01,Nowa gra
MSG_GAME_START_02,Wczytaj grę
MSG_GAME_START_03,Nowa gra +
MSG_GAME_START_06,Wznów
MSG_GAME_START_07,(C) 1995, 2018 SQUARE ENIX CO., LTD. Wszelkie prawa zastrzeżone.\Ilustracje: (C) 1995 BIRD STUDIO / SHUEISHA\Fabuła i scenariusz: (C) 1995, 2008 ARMOR PROJECT / SQUARE ENIX\Konwersja przekładu: Svartskogen
MSG_GAME_START_04,Arena
MSG_GAME_START_05,Dodatki
MSG_SAVE_LOAD_01,Wróć
MSG_SAVE_LOAD_02,Zaakceptuj
MSG_SAVE_LOAD_03,Zapisz
MSG_SAVE_LOAD_04,Wczytaj
MSG_SAVE_LOAD_05,Plik 1
MSG_SAVE_LOAD_06,Plik 2
MSG_SAVE_LOAD_07,Plik 3
MSG_SAVE_LOAD_08,Dane są uszkodzone
MSG_SAVE_LOAD_09,<S10><S10><S1>Zapis #
MSG_SAVE_LOAD_10,Empty
MSG_SAVE_LOAD_11,Tak
MSG_SAVE_LOAD_12,Nie
MSG_SAVE_LOAD_13,Please select a file.
MSG_SAVE_LOAD_14,Save data to this file?
MSG_SAVE_LOAD_15,Overwrite existing data?
MSG_SAVE_LOAD_16,Saving data.
MSG_SAVE_LOAD_17,Saving system data.
MSG_SAVE_LOAD_18,Save complete.
MSG_SAVE_LOAD_19,Save failed.
MSG_SAVE_LOAD_20,Please select a file to load.
MSG_SAVE_LOAD_21,Load this file?
MSG_SAVE_LOAD_22,Loading file.
MSG_SAVE_LOAD_23,Load complete.
MSG_SAVE_LOAD_24,Load failed.
MSG_SAVE_LOAD_25,Loading data.
MSG_SAVE_LOAD_26,The data in the existing file is corrupted.\Overwrite existing data?
MSG_SAVE_LOAD_27,Save game completion data?
MSG_SAVE_LOAD_28,Return to the title screen?
MSG_SAVE_LOAD_29,Bookmark save failed.
MSG_SAVE_LOAD_30,Resume failed.
MSG_SAVE_LOAD_31,You can save your current progress.
MSG_SAVE_LOAD_32,Bookmark your progress and exit the game?
MSG_SAVE_LOAD_33,Saving data.
MSG_SAVE_LOAD_34,Bookmark saved. Select Resume to\pick up where you left off.
MSG_SAVE_LOAD_35,Return to Title
MSG_SAVE_LOAD_36,Resume a bookmarked game.
MSG_SAVE_LOAD_37,Resume bookmarked game?
MSG_SAVE_LOAD_38,Loading bookmark file.
MSG_SAVE_LOAD_47,You can now access the Arena and\Extras options from the title screen!
MSG_SAVE_LOAD_39,Overwrite existing bookmark file?
MSG_NEWGAME_01,Game Settings
MSG_NEWGAME_02,Battle Mode
MSG_NEWGAME_03,ACTIVE
MSG_NEWGAME_04,WAIT
MSG_NEWGAME_05,\Time flows constantly in battle,\allowing for fast-paced combat.\
MSG_NEWGAME_06,Time freezes while you select\items or techs from windows,\allowing you to carefully plan\your battle strategy.
MSG_NEWGAME_07,Defaults
MSG_NEWGAME_08,Accept
MSG_NEWGAME_09,These settings can be changed later.
MSG_NEWGAME_10,Touch to Start
MSG_NEWGAME_11,*Use up to 5 characters.
MSG_NEWGAME_12,Press Any Key
MSG_NEWGAME_13,*Characters and symbols of other languages cannot be used.
MSG_GAMECLEAR_01,You've completed the game!
MSG_GAMECLEAR_02,Clear count:
MSG_GAMECLEAR_03,times
MSG_GAMECLEAR_04,Ending No.
MSG_GAMECLEAR_05,Save game completion data?
MSG_GAMECLEAR_06,Overwrite existing save data?
MSG_GAMECLEAR_07,Return to the title screen?
MSG_GAMECLEAR_08,Saving data.
MSG_GAMECLEAR_09,Save complete.
MSG_GAMECLEAR_10,
MSG_GAMECLEAR_11,You can now visit the Dimensional Vortex!
MSG_GAMECLEAR_12,
MSG_GAMECLEAR_13,
MSG_GAMECLEAR_14,Obtained Dreamseeker!
MSG_GAMECLEAR_15,
MSG_GAMECLEAR_16,New option added to the Extras menu:
MSG_GAMECLEAR_17,
MSG_SKIP_MOVIE_01,Accept
MSG_SKIP_MOVIE_02,Would you like to skip the event?
MSG_CONFIG_01,Change graphics settings.
MSG_CONFIG_02,Original
MSG_CONFIG_03,High Resolution
MSG_CONFIG_04,Play with graphics similar to the original pixel art.
MSG_CONFIG_05,Play with graphics supported by high-resolution displays.
MSG_CONFIG_06,Easy gamepad/keyboard controls.
MSG_CONFIG_07,Easy touch pad/mouse controls.
MSG_LINEUP_09,
MSG_LINEUP_10,
MSG_LINEUP_11,
MSG_LINEUP_12,
MSG_LINEUP_13,
MSG_LINEUP_14,
MSG_LINEUP_15,
MSG_LINEUP_16,
MSG_LINEUP_17,
MSG_LINEUP_18,
MSG_LINEUP_19,
MSG_LINEUP_20,
