MSG_WIRELESS_MONSTER_01,Flame Smidge
MSG_WIRELESS_MONSTER_02,Water Smidge
MSG_WIRELESS_MONSTER_03,Light Smidge
MSG_WIRELESS_MONSTER_04,Shadow Smidge
MSG_WIRELESS_MONSTER_05,Hercules Beetle
MSG_WIRELESS_MONSTER_06,Rhino Weevil
MSG_WIRELESS_MONSTER_07,Holy Knight
MSG_WIRELESS_MONSTER_08,Royal Guard
MSG_WIRELESS_MONSTER_09,Naga
MSG_WIRELESS_MONSTER_10,Bladesman
MSG_WIRELESS_MONSTER_11,Aecyto Weevil
MSG_WIRELESS_MONSTER_12,Gorgon
MSG_WIRELESS_MONSTER_13,Medusa
MSG_WIRELESS_MONSTER_14,Fiendillo
MSG_WIRELESS_MONSTER_15,Roundillo
MSG_WIRELESS_MONSTER_16,Ogan
MSG_WIRELESS_MONSTER_17,Deep Ogan
MSG_WIRELESS_MONSTER_18,Outlaw
MSG_WIRELESS_MONSTER_19,Ogan Youth
MSG_WIRELESS_MONSTER_20,Freelancer
MSG_WIRELESS_MONSTER_21,Roundillo Bomber
MSG_WIRELESS_MONSTER_22,Ninja
MSG_WIRELESS_MONSTER_23,Version 2.0
MSG_WIRELESS_MONSTER_24,Version 4.0
MSG_WIRELESS_MONSTER_25,Spearman
MSG_WIRELESS_MONSTER_26,Lancer
MSG_WIRELESS_MONSTER_27,Prototype
MSG_WIRELESS_MONSTER_28,Bone Knight
MSG_WIRELESS_MONSTER_29,Flesh Reaper
MSG_WIRELESS_MONSTER_30,Macabre
MSG_WIRELESS_MONSTER_31,Deathscythe
MSG_WIRELESS_MONSTER_32,Bao Bao
MSG_WIRELESS_MONSTER_33,Gokuu
MSG_WIRELESS_MONSTER_34,Crested Sprinter
MSG_WIRELESS_MONSTER_35,Racer
MSG_WIRELESS_MONSTER_36,Terasaur
MSG_WIRELESS_MONSTER_37,Parasaur
MSG_WIRELESS_MONSTER_38,Gigantosaur
MSG_WIRELESS_MONSTER_39,Cave Ape
MSG_WIRELESS_MONSTER_40,Chrysosaur
MSG_WIRELESS_MONSTER_41,Pink Imp
MSG_WIRELESS_MONSTER_42,Chaos Mage
MSG_WIRELESS_MONSTER_43,Zealot Mage
MSG_WIRELESS_MONSTER_44,Stone Imp
MSG_WIRELESS_MONSTER_45,Archmage
MSG_WIRELESS_MONSTER_46,Slate Imp
MSG_WIRELESS_MONSTER_47,Gargoyle
MSG_WIRELESS_MONSTER_48,Stone Gargoyle
MSG_WIRELESS_MONSTER_49,Spirit Gargoyle
MSG_WIRELESS_MONSTER_50,Ouroboros
MSG_WIRELESS_MONSTER_51,R-70Y
MSG_WIRELESS_MONSTER_52,Deathguard
MSG_WIRELESS_MONSTER_53,Dokra
MSG_WIRELESS_MONSTER_54,Uberhulk
MSG_WIRELESS_MONSTER_55,Ice Demon
MSG_WIRELESS_MONSTER_56,
MSG_WIRELESS_MONSTER_57,
MSG_WIRELESS_MONSTER_58,
MSG_WIRELESS_MONSTER_59,
MSG_WIRELESS_MONSTER_60,
MSG_WIRELESS_MONSTER_61,
MSG_WIRELESS_MONSTER_62,
MSG_WIRELESS_MONSTER_63,
MSG_WIRELESS_MONSTER_64,
