MSG_WIRELESS_MONSTER_S01,flame smidge
MSG_WIRELESS_MONSTER_S02,water smidge
MSG_WIRELESS_MONSTER_S03,light smidge
MSG_WIRELESS_MONSTER_S04,shadow smidge
MSG_WIRELESS_MONSTER_S05,hercules beetle
MSG_WIRELESS_MONSTER_S06,rhino weevil
MSG_WIRELESS_MONSTER_S07,holy knight
MSG_WIRELESS_MONSTER_S08,royal guard
MSG_WIRELESS_MONSTER_S09,naga
MSG_WIRELESS_MONSTER_S10,bladesman
MSG_WIRELESS_MONSTER_S11,aecyto weevil
MSG_WIRELESS_MONSTER_S12,gorgon
MSG_WIRELESS_MONSTER_S13,medusa
MSG_WIRELESS_MONSTER_S14,fiendillo
MSG_WIRELESS_MONSTER_S15,roundillo
MSG_WIRELESS_MONSTER_S16,ogan
MSG_WIRELESS_MONSTER_S17,deep ogan
MSG_WIRELESS_MONSTER_S18,outlaw
MSG_WIRELESS_MONSTER_S19,ogan youth
MSG_WIRELESS_MONSTER_S20,freelancer
MSG_WIRELESS_MONSTER_S21,roundillo bomber
MSG_WIRELESS_MONSTER_S22,ninja
MSG_WIRELESS_MONSTER_S23,Version 2.0
MSG_WIRELESS_MONSTER_S24,Version 4.0
MSG_WIRELESS_MONSTER_S25,spearman
MSG_WIRELESS_MONSTER_S26,lancer
MSG_WIRELESS_MONSTER_S27,prototype
MSG_WIRELESS_MONSTER_S28,bone knight
MSG_WIRELESS_MONSTER_S29,flesh reaper
MSG_WIRELESS_MONSTER_S30,macabre
MSG_WIRELESS_MONSTER_S31,deathscythe
MSG_WIRELESS_MONSTER_S32,bao bao
MSG_WIRELESS_MONSTER_S33,gokuu
MSG_WIRELESS_MONSTER_S34,crested sprinter
MSG_WIRELESS_MONSTER_S35,racer
MSG_WIRELESS_MONSTER_S36,terasaur
MSG_WIRELESS_MONSTER_S37,parasaur
MSG_WIRELESS_MONSTER_S38,gigantosaur
MSG_WIRELESS_MONSTER_S39,cave ape
MSG_WIRELESS_MONSTER_S40,chrysosaur
MSG_WIRELESS_MONSTER_S41,pink imp
MSG_WIRELESS_MONSTER_S42,chaos mage
MSG_WIRELESS_MONSTER_S43,Zealot mage
MSG_WIRELESS_MONSTER_S44,stone imp
MSG_WIRELESS_MONSTER_S45,archmage
MSG_WIRELESS_MONSTER_S46,slate imp
MSG_WIRELESS_MONSTER_S47,gargoyle
MSG_WIRELESS_MONSTER_S48,stone gargoyle
MSG_WIRELESS_MONSTER_S49,spirit gargoyle
MSG_WIRELESS_MONSTER_S50,ouroboros
MSG_WIRELESS_MONSTER_S51,R-70Y
MSG_WIRELESS_MONSTER_S52,deathguard
MSG_WIRELESS_MONSTER_S53,dokra
MSG_WIRELESS_MONSTER_S54,uberhulk
MSG_WIRELESS_MONSTER_S55,ice demon
MSG_WIRELESS_MONSTER_S56,
MSG_WIRELESS_MONSTER_S57,
MSG_WIRELESS_MONSTER_S58,
MSG_WIRELESS_MONSTER_S59,
MSG_WIRELESS_MONSTER_S60,
MSG_WIRELESS_MONSTER_S61,
MSG_WIRELESS_MONSTER_S62,
MSG_WIRELESS_MONSTER_S63,
MSG_WIRELESS_MONSTER_S64,
